module,category,analogue,sources,status
buildpyramid,"analysis","OpenCV imgproc function","opencv",catalogued
cornereigenvalsandvecs,"analysis","OpenCV imgproc function","opencv",catalogued
cornerharris,"analysis","OpenCV imgproc function","opencv",catalogued
cornermineigenval,"analysis","OpenCV imgproc function","opencv",catalogued
cornersubpix,"analysis","OpenCV imgproc function","opencv",catalogued
creategeneralizedhoughballard,"analysis","OpenCV imgproc function","opencv",catalogued
creategeneralizedhoughguil,"analysis","OpenCV imgproc function","opencv",catalogued
goodfeaturestotrack,"analysis","OpenCV imgproc function","opencv",catalogued
precornerdetect,"analysis","OpenCV imgproc function","opencv",catalogued
pyrdown,"analysis","OpenCV imgproc function","opencv",catalogued
pyrmeanshiftfiltering,"analysis","OpenCV imgproc function","opencv",catalogued
pyrup,"analysis","OpenCV imgproc function","opencv",catalogued
stereo3d,"analysis","ffmpeg video filter","ffmpeg",catalogued
adaptivethreshold,"binary / morphology","OpenCV imgproc function","opencv",catalogued
dilate,"binary / morphology","OpenCV imgproc function","opencv",catalogued
dilate3x3,"binary / morphology","this crate","registry",verified
erode,"binary / morphology","OpenCV imgproc function","opencv",catalogued
erode3x3,"binary / morphology","this crate","registry",verified
morpho,"binary / morphology","ffmpeg video filter","ffmpeg",catalogued
morphologyex,"binary / morphology","OpenCV imgproc function","opencv",catalogued
spatialgradient,"binary / morphology","OpenCV imgproc function","opencv",catalogued
threshold,"binary / morphology","this crate","registry|ffmpeg|opencv",verified
watershed,"binary / morphology","OpenCV imgproc function","opencv",catalogued
blend,"blend","ffmpeg video filter","ffmpeg",catalogued
blend_average,"blend","this crate","registry",verified
blend_burn,"blend","this crate","registry",verified
blend_darken,"blend","this crate","registry|w3c",verified
blend_darken_legacy,"blend","PS / AE blend mode","w3c",catalogued
blend_difference,"blend","this crate","registry|w3c",verified
blend_difference_legacy,"blend","PS / AE blend mode","w3c",catalogued
blend_dodge,"blend","this crate","registry",verified
blend_exclusion,"blend","this crate","registry|w3c",verified
blend_hard_light,"blend","PS / AE blend mode","w3c",catalogued
blend_hard_light_legacy,"blend","PS / AE blend mode","w3c",catalogued
blend_hardlight,"blend","this crate","registry",verified
blend_hardmix,"blend","this crate","registry",verified
